smiles,theavy-atom,chiral-center,Rings,Aromatic-Rings,Rotatable-Bonds,Fsp3
CN(C)CCn1ncc2cc3cc(C#N)c(=N)oc3nc21,21,0,3,3,3,0.2857142857142857
N=c1c2c(=O)c3cc(F)ccc3n(CCN3CCOCC3)c2ncn1Cc1ccccc1F,33,0,5,4,5,0.2916666666666667
N=c1oc2cc3ncsc3cc2c(=N)n1CCN1CCN(c2ccccc2)CC1,29,0,5,4,4,0.2857142857142857
Cc1nc2c3cc4ncccc4cc3nc(N3CCC4CCCCN4CC3)n2n1,29,1,6,4,1,0.45454545454545453
CCn1c2ccc(S(C)(=O)=O)cc2c(=N)c2c(N3CCNCC3)ncnc21,27,0,4,3,3,0.3888888888888889
N=c1c2cc3cnccc3nc2n(C2CC2)c2ncnc(N3CCNCC3)c12,28,0,6,4,2,0.35
CN(C)CCn1cnc2cc3c(=N)oc(=N)cc-3oc2c1=N,22,0,3,1,3,0.2857142857142857
CN(C)CCn1c(N2CCN(C)CC2)nc2nc3c(cc2c1=N)c(=N)n(C)c(=O)n3C,31,0,4,3,4,0.55
Cn1c(=N)c(C(=O)c2ccc(F)cc2)cc2c(=N)n(CCN3CCCCC3)cnc21,30,0,4,3,5,0.36363636363636365
N=c1c2cc(C(N)=O)ccc2oc2c(N3CCNCC3)ncnc12,24,0,4,3,2,0.25
N=c1cc(C=CC(=O)O)oc2cc(OCC3CC4CCN3C4)ncc12,25,2,4,2,5,0.3888888888888889
CCN(CC)CCn1cnc2cc3nc(C)n(CCN(C)C)c(=N)c3cc2c1=N,29,0,3,3,8,0.5238095238095238
CN(C)CCCn1c(=N)c2cc3ccc(C(=O)O)cc3nc2n(CCCN(C)C)c1=N,31,0,3,3,9,0.45454545454545453
CCOC(=O)c1cc2cc3ncnc(N4CCNCC4)c3cc2oc1=N,26,0,4,3,3,0.3333333333333333
CN(C)CCn1c(=N)c2cc(C(=O)Nc3cccc(Cl)c3)ccc2n(CCN(C)C)c1=O,32,0,3,3,8,0.34782608695652173
N=c1c2cc3cccnc3cc2n(CCN2CCCCC2)c2ncnc(N3CCNCC3)c12,33,0,6,4,4,0.44
N=c1c2cc3oc4ccccc4c(=O)c3cc2ncn1CCN1CCCCC1,28,0,5,4,3,0.3181818181818182
N=c1oc2c(cc1C(N)=O)c(=N)[nH]c1cc(N3CCNCC3)ncc12,25,0,4,3,2,0.25
N=c1c(Cn2cccc2)c(-c2ccncc2)oc2c(N3CCNCC3)ncnc12,29,0,5,4,4,0.23809523809523808
COC(=O)c1ccc2nc3c(cc(-c4ccccc4)c(=N)n3CCCN(C)C)c(=N)n2c1,32,0,4,4,6,0.25
Cc1ccc(C(=O)NC2CC2)cc1Nc1ncc2cc3c(cc2n1)c(=N)[nH]c(=N)n3CCN(C)C,35,0,5,4,7,0.32
Cn1c2ccc(S(C)(=O)=O)cc2c(=N)c2c(NCCN)ncnc21,24,0,3,3,4,0.26666666666666666
CCN(CC)CCn1c(=N)c2cc(C(=O)NCc3ccccc3)c(-c3ccccc3)nc2n(CCN(CC)CC)c1=N,42,0,4,4,14,0.3939393939393939
CCn1c(=N)c(C(=O)O)cc2c(=N)n3c(nc21)C(CN1CCCC1)OCC3,27,1,4,2,4,0.5555555555555556
COC(=O)c1ccc2nc3c(cc2c1)c(=N)n(Cc1ccccc1)c(=N)n3CCN(C)C,32,0,4,4,6,0.25
Cc1nc2nc3c(cc2c(=N)n1CCN(C)C)c(=N)n(CCN(C)C)c(=N)n3CCN(C)C,33,0,3,3,9,0.5909090909090909
Cn1ccc(=N)c2c(=N)n(CCN3CCCCC3)c3nc4ccccc4nc3c21,29,0,5,4,3,0.36363636363636365
N=c1c(C(N)=O)cc2c(=N)n(C3CC3)c3nc4ccccn4c(=O)c3c2n1CCN1CCCC1,34,0,6,4,5,0.375
Cc1cc(=O)oc2cc3c(NCCN4CCCCC4)ncnc3cc12,25,0,4,3,4,0.42105263157894735
CN1CCN(c2nc3nc4cc5cccnc5cc4cc3c(=N)[nH]2)CC1,26,0,5,4,1,0.2631578947368421
COC(=O)c1ccc2c(c1)c(=N)c1c(=N)n3ccccc3nc1n2CCCN(C)C,30,0,4,4,5,0.2727272727272727
N=c1c2c(-c3ccncc3)nn(CCN3CCCC3)c2nc2ccc(C(=O)NCc3ccccc3)cn12,37,0,6,5,7,0.25
CCOC(=O)c1cc2c(=N)[nH]c(N3CCNCC3)nc2n(CC)c1=N,25,0,3,2,4,0.5
CN(C)CCn1cnc2cc3oc4oc(=O)ccc4c(=N)c3cc2c1=N,26,0,4,4,3,0.2222222222222222
N=c1c2cc3ccccc3cc2oc2ncnc(NCCN)c12,23,0,4,4,3,0.11764705882352941
