idx,strain_energy
O14757_Pocket2Mol_idx-in-all-generaetd-0,363.64
O14757_Pocket2Mol_idx-in-all-generaetd-1,1242.01
O14757_Pocket2Mol_idx-in-all-generaetd-2,5834.320000000001
O14757_Pocket2Mol_idx-in-all-generaetd-3,622.71
O14757_Pocket2Mol_idx-in-all-generaetd-4,808.5699999999999
O14757_Pocket2Mol_idx-in-all-generaetd-5,842.79
O14757_Pocket2Mol_idx-in-all-generaetd-6,735.6300000000001
O14757_Pocket2Mol_idx-in-all-generaetd-7,513.38
O14757_Pocket2Mol_idx-in-all-generaetd-8,367.35
O14757_Pocket2Mol_idx-in-all-generaetd-9,1383.69
O14757_Pocket2Mol_idx-in-all-generaetd-10,737.46
O14757_Pocket2Mol_idx-in-all-generaetd-11,765.0699999999999
O14757_Pocket2Mol_idx-in-all-generaetd-12,739.84
O14757_Pocket2Mol_idx-in-all-generaetd-13,896.0600000000001
O14757_Pocket2Mol_idx-in-all-generaetd-14,299.04999999999995
O14757_Pocket2Mol_idx-in-all-generaetd-15,3857.15
O14757_Pocket2Mol_idx-in-all-generaetd-16,317.83000000000004
O14757_Pocket2Mol_idx-in-all-generaetd-17,713.48
O14757_Pocket2Mol_idx-in-all-generaetd-18,639.63
O14757_Pocket2Mol_idx-in-all-generaetd-19,3857.56
O14757_Pocket2Mol_idx-in-all-generaetd-20,322.52
O14757_Pocket2Mol_idx-in-all-generaetd-21,738.79
O14757_Pocket2Mol_idx-in-all-generaetd-22,1222.74
O14757_Pocket2Mol_idx-in-all-generaetd-23,1154.6
O14757_Pocket2Mol_idx-in-all-generaetd-24,1324.4
O14757_Pocket2Mol_idx-in-all-generaetd-25,626.23
O14757_Pocket2Mol_idx-in-all-generaetd-26,262.09
O14757_Pocket2Mol_idx-in-all-generaetd-27,741.24
O14757_Pocket2Mol_idx-in-all-generaetd-28,798.93
O14757_Pocket2Mol_idx-in-all-generaetd-29,353.59
O14757_Pocket2Mol_idx-in-all-generaetd-30,280.28
O14757_Pocket2Mol_idx-in-all-generaetd-31,731.47
O14757_Pocket2Mol_idx-in-all-generaetd-32,510.53000000000003
O14757_Pocket2Mol_idx-in-all-generaetd-33,3840.86
O14757_Pocket2Mol_idx-in-all-generaetd-34,633.55
O14757_Pocket2Mol_idx-in-all-generaetd-35,638.51
O14757_Pocket2Mol_idx-in-all-generaetd-36,141.74
O14757_Pocket2Mol_idx-in-all-generaetd-37,852.2199999999999
O14757_Pocket2Mol_idx-in-all-generaetd-38,1411.29
O14757_Pocket2Mol_idx-in-all-generaetd-39,3936.7599999999998
O14757_Pocket2Mol_idx-in-all-generaetd-40,1181.95
O14757_Pocket2Mol_idx-in-all-generaetd-41,717.03
O14757_Pocket2Mol_idx-in-all-generaetd-42,142.64000000000001
O14757_Pocket2Mol_idx-in-all-generaetd-43,47581.51
